,PM2.5,PM10,SO2,NO2,CO,O3,U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lon,date,IAQI_SO2,IAQI_NO2,IAQI_PM10,IAQI_CO,IAQI_O3,IAQI_PM25,IAQI
470,59.2,76.45,17.4,24.59,0.85,80.31,-5.46,-5.01,299.55,78.36,100596.22,"112.44,22.04",2013-10-1,17.4,30.7375,63.225,21.25,40.155,80.25,80.25
480,18.08,18.73,4.41,1.17,0.17,78.16,-6.62,-0.49,293.42,60.75,86626.87,"100.0,22.31",2013-10-1,4.41,1.4625,18.73,4.25,39.08,25.828571428571426,39.08
490,20.53,21.37,5.2,1.43,0.18,73.71,-5.05,-1.51,293.3,70.73,89084.78,"101.45,22.36",2013-10-1,5.2,1.7874999999999999,21.37,4.5,36.855,29.32857142857143,36.855
500,45.75,56.03,11.85,14.21,0.67,54.53,-2.99,-7.19,294.73,86.8,99108.23,"107.83,22.38",2013-10-1,11.85,17.762500000000003,53.015,16.75,27.265,63.4375,63.4375
510,44.45,52.62,12.67,9.42,0.69,65.46,-5.03,-7.22,297.87,77.47,100017.77,"109.27,22.34",2013-10-1,12.67,11.775,51.31,17.25,32.73,61.8125,61.8125
520,37.88,45.5,12.34,7.98,0.49,66.26,-5.33,-6.0,299.24,74.32,99812.53,"110.72,22.28",2013-10-1,12.34,9.975000000000001,45.5,12.25,33.13,53.6,53.6
530,62.01,78.33,17.55,20.81,0.83,68.71,-5.54,-5.92,297.95,83.3,98674.42,"112.17,22.19",2013-10-1,17.55,26.0125,64.16499999999999,20.75,34.355,83.76249999999999,83.76249999999999
540,19.22,20.01,4.34,1.52,0.17,75.8,-5.77,-1.7,293.01,59.74,86861.09,"99.71,22.43",2013-10-1,4.34,1.9,20.01,4.25,37.9,27.457142857142856,37.9
550,20.84,21.65,5.1,1.59,0.18,74.89,-5.67,-2.2,292.58,69.68,87318.65,"101.15,22.49",2013-10-1,5.1,1.9875,21.65,4.5,37.445,29.771428571428572,37.445
560,37.93,42.33,11.87,4.49,0.37,80.07,-4.73,-8.12,294.35,79.7,97573.34,"106.67,22.54",2013-10-1,11.87,5.612500000000001,42.33,9.25,40.035,53.6625,53.6625
570,48.34,61.43,12.53,22.99,0.78,47.76,-1.93,-6.65,295.67,83.45,99605.44,"108.12,22.51",2013-10-1,12.53,28.737499999999997,55.715,19.5,23.88,66.67500000000001,66.67500000000001
580,45.88,53.79,13.05,8.76,0.62,67.03,-5.15,-6.7,297.47,79.24,99062.28,"109.57,22.46",2013-10-1,13.05,10.95,51.894999999999996,15.5,33.515,63.6,63.6
590,43.14,51.42,12.9,8.22,0.49,64.06,-8.93,-5.44,296.9,81.92,96855.23,"111.02,22.39",2013-10-1,12.9,10.275,50.71,12.25,32.03,60.175,60.175
600,61.4,81.98,19.7,28.56,1.01,69.8,-4.06,-5.13,299.64,77.88,101035.26,"112.46,22.31",2013-10-1,19.7,35.699999999999996,65.99000000000001,25.25,34.9,83.0,83.0
610,19.47,20.2,4.63,1.57,0.18,78.75,-7.29,-1.57,292.57,60.56,85554.09,"99.7,22.56",2013-10-1,4.63,1.9625000000000001,20.2,4.5,39.375,27.814285714285713,39.375
620,21.19,22.08,5.2,1.82,0.18,74.94,-5.38,-1.82,292.54,68.94,87117.24,"101.15,22.62",2013-10-1,5.2,2.275,22.08,4.5,37.47,30.271428571428572,37.47
630,17.33,18.25,5.34,1.16,0.17,80.57,-4.29,-2.8,296.01,60.55,91277.3,"103.04,22.67",2013-10-1,5.34,1.45,18.25,4.25,40.285,24.757142857142856,40.285
640,41.79,50.21,10.79,10.52,0.6,58.81,-2.69,-9.25,295.21,82.28,99433.24,"107.69,22.65",2013-10-1,10.79,13.149999999999999,50.105000000000004,15.0,29.405,58.4875,58.4875
650,43.57,52.65,11.7,9.67,0.65,64.97,-5.3,-7.02,297.47,76.38,99896.66,"109.14,22.61",2013-10-1,11.7,12.0875,51.325,16.25,32.485,60.7125,60.7125
660,42.6,49.03,11.88,6.6,0.45,71.24,-6.24,-5.71,296.57,83.19,96967.48,"110.59,22.55",2013-10-1,11.88,8.25,49.03,11.25,35.62,59.5,59.5
670,54.45,68.44,15.72,18.17,0.8,57.42,-5.4,-5.44,297.47,83.14,98650.31,"112.04,22.47",2013-10-1,15.72,22.712500000000002,59.22,20.0,28.71,74.3125,74.3125
680,57.61,76.47,16.84,38.58,1.02,90.27,-5.86,-3.39,299.4,80.23,100644.21,"113.49,22.37",2013-10-1,16.84,48.224999999999994,63.235,25.5,45.135,78.2625,78.2625
690,20.87,21.88,5.48,1.98,0.18,75.69,-3.95,-0.52,293.48,62.69,87803.09,"100.71,22.74",2013-10-1,5.48,2.475,21.88,4.5,37.845,29.814285714285717,37.845
700,20.26,21.29,6.03,1.85,0.51,78.73,-6.42,-1.53,295.1,60.99,89287.5,"102.16,22.78",2013-10-1,6.03,2.3125,21.29,12.75,39.365,28.942857142857147,39.365
710,19.39,20.68,5.37,2.17,0.2,62.95,0.09,2.29,293.78,75.25,92914.8,"103.76,22.81",2013-10-1,5.37,2.7125,20.68,5.0,31.475,27.700000000000003,31.475
720,43.5,51.78,10.64,10.54,0.61,57.57,-1.49,-8.81,293.74,87.82,97979.44,"107.69,22.79",2013-10-1,10.64,13.174999999999999,50.89,15.25,28.785,60.625,60.625
730,43.94,53.48,12.11,10.17,0.64,63.94,-4.94,-6.47,297.61,75.36,99887.23,"109.15,22.75",2013-10-1,12.11,12.7125,51.739999999999995,16.0,31.97,61.175,61.175
740,43.59,49.87,12.26,7.04,0.45,71.43,-5.54,-5.16,297.57,79.23,98613.78,"110.6,22.68",2013-10-1,12.26,8.8,49.87,11.25,35.715,60.737500000000004,60.737500000000004
750,50.44,63.41,14.99,17.92,0.79,53.41,-5.35,-5.17,297.56,81.0,98926.92,"112.05,22.6",2013-10-1,14.99,22.400000000000002,56.705,19.75,26.705,69.3,69.3
760,63.74,86.59,15.07,43.86,1.18,83.11,-5.17,-3.09,299.54,79.0,100833.73,"113.5,22.51",2013-10-1,15.07,54.825,68.295,29.5,41.555,85.92500000000001,85.92500000000001
770,22.33,23.47,6.13,2.04,0.19,78.42,-1.94,-1.23,293.76,60.32,88789.97,"100.56,22.87",2013-10-1,6.13,2.55,23.47,4.75,39.21,31.9,39.21
780,21.94,23.12,6.7,2.29,0.66,77.66,-6.6,-1.35,293.35,64.37,86677.91,"102.01,22.92",2013-10-1,6.7,2.8625,23.12,16.5,38.83,31.342857142857145,38.83
790,21.59,22.93,6.13,1.94,0.33,72.47,-1.73,2.98,293.47,73.02,92034.49,"103.47,22.94",2013-10-1,6.13,2.425,22.93,8.25,36.235,30.84285714285714,36.235
800,37.32,39.55,10.68,2.88,0.29,89.48,-3.6,-5.64,292.05,81.82,92934.61,"105.95,22.95",2013-10-1,10.68,3.5999999999999996,39.55,7.249999999999999,44.74,52.9,52.9
810,45.13,53.56,10.84,11.64,0.64,55.26,0.25,-6.65,293.35,90.11,98202.77,"107.7,22.92",2013-10-1,10.84,14.55,51.78,16.0,27.63,62.6625,62.6625
820,45.81,55.92,13.03,10.53,0.63,63.55,-4.35,-6.63,297.38,75.86,99528.33,"109.15,22.88",2013-10-1,13.03,13.1625,52.96,15.75,31.775,63.5125,63.5125
830,44.83,50.94,12.86,7.36,0.44,72.6,-5.05,-5.2,298.09,76.69,99333.05,"110.61,22.82",2013-10-1,12.86,9.200000000000001,50.47,11.0,36.3,62.287499999999994,62.287499999999994
840,47.0,58.61,14.39,17.29,0.76,50.87,-5.48,-4.85,297.48,79.47,98650.32,"112.06,22.74",2013-10-1,14.39,21.612499999999997,54.305,19.0,25.435,65.0,65.0
850,65.3,89.75,15.68,42.77,1.24,71.28,-4.6,-3.2,299.81,77.65,101094.77,"113.51,22.64",2013-10-1,15.68,53.462500000000006,69.875,31.0,35.64,87.875,87.875
860,22.66,23.79,5.79,1.89,0.19,79.4,-2.63,-1.95,294.0,58.51,89010.92,"100.4,23.0",2013-10-1,5.79,2.3625,23.79,4.75,39.7,32.371428571428574,39.7
870,23.01,24.36,7.33,2.67,0.75,77.56,-6.57,-0.83,292.76,64.56,85778.8,"101.86,23.05",2013-10-1,7.33,3.3375,24.36,18.75,38.78,32.871428571428574,38.78
880,25.03,26.78,7.5,2.22,0.52,79.16,-4.77,1.78,293.26,70.59,89690.46,"103.32,23.08",2013-10-1,7.5,2.7750000000000004,26.78,13.0,39.58,35.75714285714286,39.58
890,31.52,33.73,8.09,1.96,0.24,85.63,-2.66,-7.15,289.03,88.6,86318.12,"104.78,23.09",2013-10-1,8.09,2.45,33.73,6.0,42.815,45.02857142857143,45.02857142857143
900,45.66,52.24,11.47,6.86,0.45,65.63,-1.22,-8.15,291.3,89.23,94752.2,"106.97,23.07",2013-10-1,11.47,8.575000000000001,51.120000000000005,11.25,32.815,63.324999999999996,63.324999999999996
910,45.1,54.43,15.46,15.29,0.66,57.81,-3.83,-6.14,296.16,77.76,98998.7,"108.43,23.04",2013-10-1,15.46,19.112499999999997,52.215,16.5,28.905,62.625,62.625
920,47.23,54.68,13.17,7.55,0.5,79.83,-4.4,-5.36,298.18,74.05,100541.61,"109.89,22.98",2013-10-1,13.17,9.4375,52.34,12.5,39.915,65.2875,65.2875
930,40.75,48.67,11.51,9.79,0.55,52.06,-5.32,-3.65,297.54,78.37,98255.84,"111.34,22.91",2013-10-1,11.51,12.237499999999999,48.67,13.750000000000002,26.03,57.1875,57.1875
940,57.51,81.25,25.63,38.24,1.11,57.08,-3.47,-4.64,298.64,78.21,100139.93,"112.8,22.82",2013-10-1,25.63,47.800000000000004,65.625,27.750000000000004,28.54,78.13749999999999,78.13749999999999
950,44.78,57.3,8.82,17.27,0.87,83.47,-5.28,-2.1,299.14,78.83,100387.38,"114.39,22.71",2013-10-1,8.82,21.5875,53.65,21.75,41.735,62.225,62.225
960,22.81,23.92,5.68,1.9,0.19,79.2,-3.45,-2.76,293.13,59.41,87511.05,"100.4,23.13",2013-10-1,5.68,2.375,23.92,4.75,39.6,32.58571428571428,39.6
970,23.91,25.46,7.99,2.98,0.93,77.71,-7.84,-1.74,292.51,64.35,85184.17,"101.86,23.18",2013-10-1,7.99,3.725,25.46,23.25,38.855,34.15714285714286,38.855
980,26.87,29.1,8.26,2.37,0.65,79.14,-7.45,-1.63,290.21,75.49,84007.51,"103.32,23.21",2013-10-1,8.26,2.9625000000000004,29.1,16.25,39.57,38.385714285714286,39.57
990,32.94,35.27,8.31,2.15,0.24,84.53,-2.17,-5.07,288.61,90.72,86537.96,"104.78,23.22",2013-10-1,8.31,2.6875,35.27,6.0,42.265,47.05714285714286,47.05714285714286
1000,41.79,46.96,11.71,4.87,0.36,74.54,-2.66,-7.57,291.35,85.62,93451.39,"106.68,23.21",2013-10-1,11.71,6.0875,46.96,9.0,37.27,58.4875,58.4875
1010,45.0,54.25,14.16,12.54,0.64,55.24,-0.73,-6.28,295.86,80.8,100406.5,"108.14,23.18",2013-10-1,14.16,15.674999999999999,52.125,16.0,27.62,62.5,62.5
1020,46.78,56.12,14.89,9.77,0.57,75.18,-3.52,-5.39,298.44,71.62,100699.01,"109.6,23.13",2013-10-1,14.89,12.212499999999999,53.06,14.249999999999998,37.59,64.725,64.725
1030,43.14,50.38,12.06,8.43,0.5,62.88,-5.12,-4.29,297.85,76.56,98867.01,"111.06,23.06",2013-10-1,12.06,10.5375,50.19,12.5,31.44,60.175,60.175
1040,46.7,59.58,16.25,18.24,0.86,54.22,-4.35,-5.62,299.07,72.92,100661.98,"112.51,22.98",2013-10-1,16.25,22.799999999999997,54.79,21.5,27.11,64.625,64.625
1050,57.64,73.62,13.86,31.87,1.19,66.1,-4.41,-3.57,299.34,77.7,100711.8,"113.97,22.87",2013-10-1,13.86,39.8375,61.81,29.75,33.05,78.3,78.3
1060,19.17,19.98,5.1,1.64,0.18,84.8,-2.15,0.17,296.06,48.13,89871.18,"98.93,23.2",2013-10-1,5.1,2.05,19.98,4.5,42.4,27.38571428571429,42.4
1070,23.42,24.59,5.89,2.02,0.19,79.63,-2.61,-2.05,292.25,60.84,86742.53,"100.39,23.27",2013-10-1,5.89,2.525,24.59,4.75,39.815,33.45714285714286,39.815
1080,24.39,26.22,8.6,3.27,1.04,79.21,-8.76,-2.83,291.29,67.25,83915.74,"101.85,23.31",2013-10-1,8.6,4.0875,26.22,26.0,39.605,34.84285714285714,39.605
1090,29.43,32.93,11.88,4.54,1.09,76.68,-6.32,-1.31,289.62,75.75,83407.24,"103.32,23.34",2013-10-1,11.88,5.675,32.93,27.250000000000004,38.34,42.042857142857144,42.042857142857144
1100,32.75,35.18,8.67,2.13,0.25,86.01,-2.96,-3.89,290.07,84.1,87948.22,"104.78,23.36",2013-10-1,8.67,2.6624999999999996,35.18,6.25,43.005,46.785714285714285,46.785714285714285
1110,42.37,45.7,10.47,3.14,0.3,84.35,-2.72,-6.5,289.96,85.9,90742.93,"106.24,23.35",2013-10-1,10.47,3.9250000000000003,45.7,7.5,42.175,59.2125,59.2125
1120,45.18,54.95,12.12,10.87,0.62,57.71,-1.54,-5.47,294.28,84.36,98910.52,"107.71,23.33",2013-10-1,12.12,13.587499999999999,52.475,15.5,28.855,62.725,62.725
1130,53.93,65.39,19.55,12.86,0.68,63.63,-2.49,-6.08,296.48,77.97,99782.9,"109.17,23.28",2013-10-1,19.55,16.075,57.695,17.0,31.815,73.6625,73.6625
1140,43.34,48.48,12.08,6.03,0.41,76.03,-4.73,-4.37,298.38,72.72,99739.1,"110.63,23.22",2013-10-1,12.08,7.5375000000000005,48.48,10.25,38.015,60.425000000000004,60.425000000000004
1150,40.18,48.16,11.71,10.0,0.65,55.06,-5.36,-3.76,298.75,72.37,99791.2,"112.09,23.14",2013-10-1,11.71,12.5,48.16,16.25,27.53,56.475,56.475
1160,59.24,83.84,17.51,42.68,1.13,50.76,-3.89,-3.9,299.86,73.04,100979.13,"113.54,23.04",2013-10-1,17.51,53.35,66.92,28.249999999999996,25.38,80.30000000000001,80.30000000000001
1170,46.28,56.53,8.81,12.31,0.72,81.97,-5.95,-2.54,298.31,76.34,98624.33,"115.0,22.92",2013-10-1,8.81,15.387500000000001,53.265,18.0,40.985,64.1,64.1
1180,20.17,20.92,5.17,1.7,0.18,85.6,-8.5,1.85,291.52,58.66,83060.13,"99.22,23.35",2013-10-1,5.17,2.125,20.92,4.5,42.8,28.814285714285717,42.8
1190,21.58,22.64,6.29,2.09,0.19,80.85,-3.85,-0.19,293.82,58.25,87383.21,"100.68,23.41",2013-10-1,6.29,2.6125,22.64,4.75,40.425,30.828571428571426,40.425
1200,28.41,33.5,11.39,6.11,1.66,67.97,-4.62,2.29,293.57,61.33,88612.58,"102.14,23.46",2013-10-1,11.39,7.6375,33.5,41.5,33.985,40.58571428571429,41.5
1210,32.16,34.78,8.2,2.25,0.6,76.77,-9.48,-5.14,285.52,92.8,80589.82,"103.61,23.48",2013-10-1,8.2,2.8125,34.78,15.0,38.385,45.942857142857136,45.942857142857136
1220,33.02,35.35,9.22,1.74,0.25,90.26,-6.52,-6.86,289.66,81.91,87274.29,"105.07,23.49",2013-10-1,9.22,2.175,35.35,6.25,45.13,47.17142857142858,47.17142857142858
1230,43.12,47.87,11.89,4.49,0.33,75.4,-1.52,-5.31,289.78,87.39,91477.57,"106.54,23.48",2013-10-1,11.89,5.612500000000001,47.87,8.25,37.7,60.15,60.15
1240,47.92,57.45,13.56,10.58,0.63,55.99,-1.45,-6.87,294.09,85.26,98751.9,"108.0,23.45",2013-10-1,13.56,13.225,53.725,15.75,27.995,66.15,66.15
1250,49.32,58.51,15.15,8.32,0.57,72.45,-1.58,-6.06,296.68,77.36,99356.99,"109.47,23.41",2013-10-1,15.15,10.4,54.254999999999995,14.249999999999998,36.225,67.9,67.9
1260,42.59,48.27,12.87,7.16,0.44,70.58,-5.0,-3.96,298.75,70.8,100107.16,"110.93,23.34",2013-10-1,12.87,8.95,48.27,11.0,35.29,59.487500000000004,59.487500000000004
1270,42.6,50.76,13.26,10.31,0.71,57.72,-5.49,-5.35,297.55,75.78,98673.02,"112.39,23.26",2013-10-1,13.26,12.887500000000001,50.379999999999995,17.75,28.86,59.5,59.5
1280,51.5,63.04,15.75,22.62,1.01,67.94,-4.57,-3.94,299.85,71.84,100700.8,"113.85,23.15",2013-10-1,15.75,28.275000000000002,56.519999999999996,25.25,33.97,70.625,70.625
1290,52.91,65.77,9.38,14.71,0.71,80.94,-4.61,-2.31,298.48,75.11,99250.86,"115.3,23.03",2013-10-1,9.38,18.387500000000003,57.885,17.75,40.47,72.38749999999999,72.38749999999999
1300,20.71,21.66,5.63,2.16,0.19,82.7,-5.25,-1.72,295.61,48.81,89335.31,"98.92,23.47",2013-10-1,5.63,2.7,21.66,4.75,41.35,29.58571428571429,41.35
1310,23.23,24.46,6.23,2.23,0.2,80.76,-2.36,-2.27,293.62,56.59,88223.98,"100.38,23.53",2013-10-1,6.23,2.7875,24.46,5.0,40.38,33.18571428571429,40.38
1320,27.53,30.77,10.36,6.1,1.84,69.64,-3.94,1.04,291.22,67.81,85755.52,"101.85,23.58",2013-10-1,10.36,7.625,30.77,46.0,34.82,39.32857142857143,46.0
1330,28.47,32.56,10.31,3.69,1.0,76.08,-8.82,-2.53,291.99,66.18,85558.52,"103.31,23.61",2013-10-1,10.31,4.6125,32.56,25.0,38.04,40.67142857142857,40.67142857142857
1340,33.67,36.26,9.24,1.67,0.25,90.18,-4.99,-6.14,289.3,82.71,85925.59,"104.78,23.63",2013-10-1,9.24,2.0875,36.26,6.25,45.09,48.1,48.1
1350,42.77,46.2,10.31,3.04,0.3,83.29,-2.21,-3.66,289.97,84.07,90846.47,"106.25,23.62",2013-10-1,10.31,3.8,46.2,7.5,41.645,59.712500000000006,59.712500000000006
1360,45.51,54.12,11.95,7.59,0.55,62.38,-2.94,-5.87,293.71,84.07,97384.62,"107.71,23.59",2013-10-1,11.95,9.4875,52.06,13.750000000000002,31.19,63.137499999999996,63.137499999999996
1370,57.5,70.18,26.23,16.22,0.71,66.53,-2.61,-6.74,296.46,76.2,99937.3,"109.18,23.55",2013-10-1,26.23,20.275,60.09,17.75,33.265,78.125,78.125
